scenario_id,pump_flow_lpm,radiator_area_m2,fan_power_w,coolant_type,duct_layout,thermal_margin_degC,system_cost_jpy,parasitic_power_w,max_component_temp_degC,pressure_drop_kpa
syn_cooling_00,8,0.18,40,type_a,short,9.02,156500.0,41.2,82.48,18.46
syn_cooling_00,13,0.31,69,type_b,short,14.428,227330.0,72.55,77.054,20.865
syn_cooling_00,18,0.44,98,type_c,short,18.957,287160.0,102.9,72.472,24.17
syn_cooling_00,23,0.57,127,type_a,balanced,20.656,302990.0,126.25,70.689,32.675
syn_cooling_00,28,0.22,156,type_b,balanced,17.558,299420.0,157.6,73.677,35.08
syn_cooling_00,8,0.35,186,type_c,balanced,18.494,307170.0,141.1,72.615,25.43
syn_cooling_00,14,0.48,215,type_a,extended,20.073,319100.0,166.35,70.902,34.955
syn_cooling_00,19,0.61,43,type_b,extended,21.465,305510.0,67.05,69.378,28.315
syn_cooling_00,24,0.27,72,type_c,extended,17.808,292490.0,97.4,72.915,31.62
syn_cooling_01,29,0.4,101,type_a,short,16.279,260320.0,120.75,74.342,32.125
syn_cooling_01,9,0.53,131,type_b,short,18.426,279070.0,105.25,72.122,21.575
syn_cooling_01,14,0.18,160,type_c,short,14.885,264500.0,135.6,75.623,24.88
syn_cooling_01,20,0.31,189,type_a,balanced,16.889,282430.0,160.85,73.613,33.905
syn_cooling_01,25,0.44,218,type_b,balanced,22.153,353260.0,192.2,68.38,36.31
syn_cooling_01,30,0.57,46,type_c,balanced,22.86,328670.0,91.9,67.739,30.57
syn_cooling_01,10,0.22,76,type_a,extended,12.973,212020.0,68.4,77.72,26.62
syn_cooling_01,15,0.36,105,type_b,extended,18.09,284400.0,99.75,72.719,29.025
syn_cooling_01,20,0.49,134,type_c,extended,22.262,344230.0,130.1,68.677,32.33
syn_cooling_02,26,0.62,163,type_a,short,20.662,314160.0,155.35,70.412,33.355
syn_cooling_02,31,0.27,192,type_b,short,17.708,310590.0,186.7,73.495,35.76
syn_cooling_02,11,0.4,222,type_c,short,19.011,318340.0,170.2,72.306,26.11
syn_cooling_02,16,0.53,50,type_a,balanced,17.303,249750.0,62.9,74.105,25.57
syn_cooling_02,21,0.18,79,type_b,balanced,14.549,246180.0,94.25,76.922,27.975
syn_cooling_02,26,0.31,108,type_c,balanced,19.071,306010.0,124.6,72.427,31.28
syn_cooling_02,32,0.45,137,type_a,extended,21.062,319490.0,149.85,70.428,40.805
syn_cooling_02,12,0.58,167,type_b,extended,22.886,338240.0,134.35,68.56,30.255
syn_cooling_02,17,0.23,196,type_c,extended,18.891,323670.0,164.7,72.479,33.56
syn_cooling_03,22,0.36,225,type_a,short,17.041,291500.0,188.05,74.226,34.065
syn_cooling_03,27,0.49,53,type_b,short,18.439,277910.0,88.75,72.706,27.425
syn_cooling_03,32,0.62,82,type_c,short,22.779,337740.0,119.1,68.233,30.73
syn_cooling_03,13,0.27,112,type_a,balanced,13.296,229190.0,97.5,77.583,26.8
syn_cooling_03,18,0.4,141,type_b,balanced,18.679,300020.0,128.85,72.074,29.205
syn_cooling_03,23,0.54,170,type_c,balanced,23.467,361400.0,159.2,67.179,32.51
syn_cooling_03,28,0.19,199,type_a,extended,17.177,296830.0,182.55,73.387,41.515
syn_cooling_03,8,0.32,228,type_b,extended,19.184,315160.0,166.4,71.331,30.92
syn_cooling_03,13,0.45,57,type_c,extended,19.901,290990.0,66.75,70.599,25.225
syn_cooling_04,19,0.58,86,type_a,short,18.231,260920.0,92.0,72.291,26.25
syn_cooling_04,24,0.23,115,type_b,short,15.017,257350.0,123.35,75.561,28.655
syn_cooling_04,29,0.36,144,type_c,short,19.193,317180.0,153.7,71.472,31.96
syn_cooling_04,9,0.49,173,type_a,balanced,17.519,280510.0,129.55,73.256,27.465
syn_cooling_04,14,0.63,203,type_b,balanced,22.922,353310.0,161.55,67.981,29.915
syn_cooling_04,19,0.28,232,type_c,balanced,19.303,338740.0,191.9,71.734,33.22
syn_cooling_04,25,0.41,60,type_a,extended,17.727,266250.0,86.5,73.442,33.7
syn_cooling_04,30,0.54,89,type_b,extended,23.13,337080.0,117.85,68.159,36.105
syn_cooling_04,10,0.19,118,type_c,extended,16.236,270010.0,100.7,75.151,26.41
syn_cooling_05,15,0.32,148,type_a,short,14.637,238260.0,124.7,76.821,26.96
syn_cooling_05,20,0.45,177,type_b,short,19.686,309090.0,156.05,71.809,29.365
syn_cooling_05,25,0.58,206,type_c,short,23.848,368920.0,186.4,67.648,32.67
syn_cooling_05,31,0.24,235,type_a,balanced,17.439,314000.0,211.65,74.022,41.695
syn_cooling_05,11,0.37,63,type_b,balanced,15.593,247910.0,64.85,75.801,22.055
syn_cooling_05,16,0.5,93,type_c,balanced,19.959,308160.0,95.85,71.339,25.405
syn_cooling_05,21,0.63,122,type_a,extended,21.745,317990.0,119.2,69.435,34.41
syn_cooling_05,26,0.28,151,type_b,extended,18.972,314420.0,150.55,72.076,36.815
syn_cooling_05,31,0.41,180,type_c,extended,23.59,374250.0,180.9,67.324,40.12
syn_cooling_06,12,0.54,209,type_a,short,19.035,291680.0,158.65,71.751,28.145
syn_cooling_06,17,0.19,239,type_b,short,16.142,288530.0,190.65,74.531,30.595
syn_cooling_06,22,0.33,67,type_c,short,17.003,265490.0,90.35,73.581,24.855
syn_cooling_06,27,0.46,96,type_a,balanced,18.498,281320.0,113.7,72.027,33.36
syn_cooling_06,32,0.59,125,type_b,balanced,23.444,352150.0,145.05,67.057,35.765
syn_cooling_06,12,0.24,154,type_c,balanced,16.213,285080.0,127.9,74.299,26.07
syn_cooling_06,18,0.37,184,type_a,extended,17.945,297430.0,153.8,72.614,35.64
syn_cooling_06,23,0.5,213,type_b,extended,23.168,368260.0,185.15,67.471,38.045
syn_cooling_06,28,0.63,41,type_c,extended,24.097,343670.0,84.85,66.647,32.305
syn_cooling_07,8,0.28,70,type_a,short,11.3,184600.0,60.7,79.567,19.81
syn_cooling_07,13,0.42,99,type_b,short,16.87,256980.0,92.05,74.131,22.215
syn_cooling_07,18,0.55,129,type_c,short,21.398,317230.0,123.05,69.736,25.565
syn_cooling_07,24,0.2,158,type_a,balanced,15.042,260760.0,148.3,76.215,34.59
syn_cooling_07,29,0.33,187,type_b,balanced,20.085,331590.0,179.65,71.277,36.995
syn_cooling_07,9,0.46,216,type_c,balanced,20.994,338920.0,162.5,70.447,27.3
syn_cooling_07,14,0.59,44,type_a,extended,18.83,264330.0,55.2,72.658,27.26
syn_cooling_07,19,0.24,74,type_b,extended,15.715,261180.0,87.2,75.784,29.71
syn_cooling_07,24,0.37,103,type_c,extended,20.071,321010.0,117.55,71.403,33.015
syn_cooling_08,30,0.51,132,type_a,short,18.864,292490.0,142.8,72.551,34.04
syn_cooling_08,10,0.64,161,type_b,short,21.005,310820.0,126.65,70.321,23.445
syn_cooling_08,15,0.29,190,type_c,short,17.462,296250.0,157.0,73.751,26.75
syn_cooling_08,20,0.42,220,type_a,balanced,19.34,312500.0,181.0,71.744,35.3
syn_cooling_08,25,0.55,48,type_b,balanced,20.964,298910.0,81.7,69.987,28.66
syn_cooling_08,30,0.2,77,type_c,balanced,17.105,284340.0,112.05,73.714,31.965
syn_cooling_08,11,0.33,106,type_a,extended,15.475,243770.0,89.8,75.226,28.49
syn_cooling_08,16,0.46,135,type_b,extended,20.421,314600.0,121.15,70.184,30.895
syn_cooling_08,21,0.6,165,type_c,extended,24.793,376400.0,152.15,65.745,34.245
syn_cooling_09,26,0.25,194,type_a,short,14.924,269830.0,175.5,75.58,34.75
syn_cooling_09,31,0.38,223,type_b,short,20.154,340660.0,206.85,70.352,37.155
syn_cooling_09,11,0.51,51,type_c,short,17.838,263570.0,59.05,72.705,18.415
syn_cooling_09,17,0.64,80,type_a,balanced,19.884,281500.0,84.3,70.73,27.44
syn_cooling_09,22,0.29,110,type_b,balanced,17.138,278350.0,116.3,73.575,29.89
syn_cooling_09,27,0.42,139,type_c,balanced,21.641,338180.0,146.65,69.191,33.195
syn_cooling_09,32,0.55,168,type_a,extended,23.308,348010.0,170.0,67.656,42.2
syn_cooling_09,12,0.21,197,type_b,extended,17.104,293490.0,153.85,73.994,31.605
syn_cooling_09,17,0.34,226,type_c,extended,21.261,353320.0,184.2,69.965,34.91
