scenario_id,battery_kwh,motor_power_kw,vehicle_mass_kg,tire_type,cooling_arch,range_km,cost_jpy,mass_kg,accel_0_100_sec,gradeability,battery_temp_max_degC
syn_scenario_00,50,80,1400,eco,basic,386.5,3298000.0,1604.0,11.49,0.2526,51.4
syn_scenario_00,57,103,1497,standard,basic,384.834,3635654.0,1736.4,10.865,0.2804,51.073
syn_scenario_00,64,126,1594,sport,enhanced,387.979,4176940.0,1894.8,10.25,0.3123,45.731
syn_scenario_00,71,149,1691,eco,enhanced,449.35,4427208.0,2007.2,10.544,0.3036,45.361
syn_scenario_00,78,172,1788,standard,integrated,443.269,4901978.0,2157.6,9.832,0.3299,42.353
syn_scenario_00,85,195,1885,sport,integrated,442.796,5261850.0,2292.0,9.204,0.3616,41.9
syn_scenario_00,92,218,1982,eco,basic,503.192,5192411.0,2362.4,9.571,0.3541,48.999
syn_scenario_00,99,252,2079,standard,basic,499.273,5609430.0,2494.8,8.735,0.3927,48.123
syn_scenario_00,106,275,2176,sport,enhanced,502.999,6152586.0,2653.2,8.135,0.4271,42.537
syn_scenario_00,116,298,2273,eco,enhanced,578.14,6471720.0,2778.2,8.438,0.4221,42.012
syn_scenario_01,52,100,2370,standard,integrated,324.077,3812827.0,2630.4,12.032,0.249,43.281
syn_scenario_01,59,123,2520,sport,integrated,323.896,4179591.0,2817.8,11.464,0.2824,42.647
syn_scenario_01,66,146,1416,eco,basic,444.659,4116655.0,1687.2,10.198,0.3127,49.627
syn_scenario_01,73,169,1513,standard,basic,438.272,4458412.0,1819.6,9.578,0.341,49.032
syn_scenario_01,80,203,1610,sport,enhanced,438.001,5084605.0,1978.0,8.775,0.3835,43.144
syn_scenario_01,87,226,1707,eco,enhanced,499.004,5339220.0,2090.4,9.09,0.3751,42.631
syn_scenario_01,94,249,1804,standard,integrated,495.788,5817357.0,2240.8,8.376,0.4014,39.565
syn_scenario_01,101,272,1901,sport,integrated,499.955,6179059.0,2375.2,7.724,0.4328,39.146
syn_scenario_01,111,295,1998,eco,basic,575.049,6174108.0,2458.2,8.067,0.4248,46.457
syn_scenario_01,118,97,2095,standard,basic,572.526,4895675.0,2590.6,11.754,0.2494,52.738
syn_scenario_02,54,120,2192,sport,enhanced,322.232,3908948.0,2450.8,11.175,0.2833,45.278
syn_scenario_02,61,154,2289,eco,enhanced,382.392,4239526.0,2563.2,11.289,0.2881,44.622
syn_scenario_02,68,177,2439,standard,integrated,373.243,4715827.0,2766.6,10.651,0.3167,41.686
syn_scenario_02,75,200,2536,sport,integrated,373.36,5078500.0,2901.0,9.991,0.3519,41.325
syn_scenario_02,82,223,1432,eco,basic,495.101,5012665.0,1770.4,8.699,0.3826,48.528
syn_scenario_02,89,246,1529,standard,basic,492.525,5353194.0,1902.8,8.071,0.4114,48.087
syn_scenario_02,96,269,1626,sport,enhanced,496.955,5899736.0,2061.2,7.498,0.4443,42.599
syn_scenario_02,106,292,1723,eco,enhanced,571.803,6221269.0,2186.2,7.84,0.4363,42.155
syn_scenario_02,113,105,1820,standard,integrated,568.649,5170191.0,2336.6,11.233,0.2695,45.279
syn_scenario_02,120,128,1917,sport,integrated,569.712,5536419.0,2471.0,10.569,0.3008,44.671
syn_scenario_03,56,151,2014,eco,basic,377.419,3944983.0,2243.2,10.885,0.2925,49.512
syn_scenario_03,63,174,2111,standard,basic,371.013,4283607.0,2375.6,10.247,0.3198,48.878
